Peak,Name,strain,species,FC,log2FC,pvalue_unadjusted,pvalue_BH_corrected,asterisks_BH_corrected
n_P626,D-(+)-Tryptophan,CDC_ID_249,PA,0.005584012797430845,-7.48448203674474,0.00216502933303838,0.004583050857802594,*
n_P626,D-(+)-Tryptophan,CDC_ID_258,PA,6.54397625453378e-4,-10.577544866222189,0.00216502933303838,0.004583050857802594,*
n_P626,D-(+)-Tryptophan,CDC_ID_474,SA,0.5384303474894582,-0.8931683681882469,0.00216502933303838,0.004583050857802594,*
n_P626,D-(+)-Tryptophan,CDC_ID_484,SA,0.710699083118114,-0.49268925682600095,0.00216502933303838,0.004583050857802594,*
n_P626,D-(+)-Tryptophan,Isogenic,PA,0.004753095980614686,-7.716916749977712,0.00216502933303838,0.004583050857802594,*
n_P626,D-(+)-Tryptophan,SCFM_evolved,PA,0.0014701339290651484,-9.409836694228511,0.00216502933303838,0.004583050857802594,*
n_P626,D-(+)-Tryptophan,USA300,SA,0.7044556189358655,-0.5054192760146264,0.00216502933303838,0.004583050857802594,*
n_P630,2-(acetylamino)-4-(methylthio)butanoic acid,ATCC_29213,SA,292.47890557865907,8.192188766899882,0.00216502933303838,0.004583050857802594,*
n_P630,2-(acetylamino)-4-(methylthio)butanoic acid,CDC_ID_234,PA,1583.6514655167477,10.629039142618424,0.00216502933303838,0.004583050857802594,*
n_P630,2-(acetylamino)-4-(methylthio)butanoic acid,CDC_ID_249,PA,1255.5983657379195,10.29415934091255,0.00216502933303838,0.004583050857802594,*
n_P630,2-(acetylamino)-4-(methylthio)butanoic acid,CDC_ID_258,PA,1384.7757907904825,10.435436692922508,0.00216502933303838,0.004583050857802594,*
n_P630,2-(acetylamino)-4-(methylthio)butanoic acid,CDC_ID_474,SA,254.0654608518531,7.989056450074891,0.00216502933303838,0.004583050857802594,*
n_P630,2-(acetylamino)-4-(methylthio)butanoic acid,CDC_ID_484,SA,132.14225308510186,7.045948038414353,0.00216502933303838,0.004583050857802594,*
n_P630,2-(acetylamino)-4-(methylthio)butanoic acid,Isogenic,PA,3322.074094789677,11.697868535865302,0.00216502933303838,0.004583050857802594,*
n_P630,2-(acetylamino)-4-(methylthio)butanoic acid,SCFM_evolved,PA,3894.730094340427,11.927307637326766,0.00216502933303838,0.004583050857802594,*
n_P630,2-(acetylamino)-4-(methylthio)butanoic acid,USA300,SA,77.5277364198861,6.27664063800488,0.00216502933303838,0.004583050857802594,*
n_P640,N1-(4-butyl-2-methylphenyl)-2-(benzylamino)-2-thioxoacetamide,ATCC_29213,SA,1.179455997845781,0.23812159672589084,0.0552849927170241,0.09046635171876671,
n_P640,N1-(4-butyl-2-methylphenyl)-2-(benzylamino)-2-thioxoacetamide,CDC_ID_234,PA,31.075836412657246,4.957721317127422,0.00216502933303838,0.004583050857802594,*
n_P640,N1-(4-butyl-2-methylphenyl)-2-(benzylamino)-2-thioxoacetamide,CDC_ID_249,PA,956.338117374992,9.9013769690875,0.00216502933303838,0.004583050857802594,*
n_P640,N1-(4-butyl-2-methylphenyl)-2-(benzylamino)-2-thioxoacetamide,CDC_ID_258,PA,23.112048511572755,4.530573232084079,0.00216502933303838,0.004583050857802594,*
n_P640,N1-(4-butyl-2-methylphenyl)-2-(benzylamino)-2-thioxoacetamide,CDC_ID_474,SA,2.1369564100283607,1.095557479978397,0.00216502933303838,0.004583050857802594,*
n_P640,N1-(4-butyl-2-methylphenyl)-2-(benzylamino)-2-thioxoacetamide,CDC_ID_484,SA,1.0691787553375165,0.09650307651918721,0.898326787269238,0.9343656609579928,
n_P640,N1-(4-butyl-2-methylphenyl)-2-(benzylamino)-2-thioxoacetamide,Isogenic,PA,170.51572612411667,7.413760990343951,0.00216502933303838,0.004583050857802594,*
n_P640,N1-(4-butyl-2-methylphenyl)-2-(benzylamino)-2-thioxoacetamide,SCFM_evolved,PA,264.5355595718433,8.047317856045028,0.00216502933303838,0.004583050857802594,*
n_P640,N1-(4-butyl-2-methylphenyl)-2-(benzylamino)-2-thioxoacetamide,USA300,SA,1.2174896212559818,0.28390947380548415,0.0409135529844968,0.06845571387459323,
n_P643,DL-4-Hydroxyphenyllactic acid,ATCC_29213,SA,3177.0056571707614,11.633451943666888,0.00216502933303838,0.004583050857802594,*
n_P643,DL-4-Hydroxyphenyllactic acid,CDC_ID_234,PA,66.59003249689177,6.057234339098494,0.00216502933303838,0.004583050857802594,*
n_P643,DL-4-Hydroxyphenyllactic acid,CDC_ID_249,PA,108.68385915136352,6.763993888637222,0.00216502933303838,0.004583050857802594,*
n_P643,DL-4-Hydroxyphenyllactic acid,CDC_ID_258,PA,75.30374158561412,6.234649644152495,0.00216502933303838,0.004583050857802594,*
n_P643,DL-4-Hydroxyphenyllactic acid,CDC_ID_474,SA,1581.5414420414158,10.627115644781886,0.00216502933303838,0.004583050857802594,*
n_P643,DL-4-Hydroxyphenyllactic acid,CDC_ID_484,SA,5708.136192276613,12.47880404161628,0.00216502933303838,0.004583050857802594,*
n_P643,DL-4-Hydroxyphenyllactic acid,Isogenic,PA,205.26496775586176,7.681343615772108,0.00216502933303838,0.004583050857802594,*
n_P643,DL-4-Hydroxyphenyllactic acid,SCFM_evolved,PA,284.3967326950792,8.151761080359046,0.00216502933303838,0.004583050857802594,*
n_P643,DL-4-Hydroxyphenyllactic acid,USA300,SA,764.5723705790097,9.57850925608793,0.00216502933303838,0.004583050857802594,*
n_P654,2-Aminophenol,ATCC_29213,SA,0.9515106448804862,-0.07170829836664197,0.159864197547973,0.23815299012681693,
n_P654,2-Aminophenol,CDC_ID_234,PA,516.903174710481,9.0137502528151785,0.00216502933303838,0.004583050857802594,*
n_P654,2-Aminophenol,CDC_ID_249,PA,0.9145214319099649,-0.12891111480083153,0.159864197547973,0.23815299012681693,
n_P654,2-Aminophenol,CDC_ID_258,PA,354.89862892034193,8.471263190621471,0.00216502933303838,0.004583050857802594,*
n_P654,2-Aminophenol,CDC_ID_474,SA,0.9403050230823601,-0.0887992701115897,0.0214507336863221,0.038245913815486594,*
n_P654,2-Aminophenol,CDC_ID_484,SA,0.9568496628046177,-0.0636358240568762,0.0966975676176362,0.15056051024101375,
n_P654,2-Aminophenol,Isogenic,PA,304.92713640013784,8.252320735687606,0.00216502933303838,0.004583050857802594,*
n_P654,2-Aminophenol,SCFM_evolved,PA,203.15064107605374,7.666406107018027,0.00216502933303838,0.004583050857802594,*
n_P654,2-Aminophenol,USA300,SA,0.943590305547018,-0.08376749849214868,0.0966975676176362,0.15056051024101375,
n_P655,Paracetamol,ATCC_29213,SA,1.9419713240055918,0.957521897451043,0.159864197547973,0.23815299012681693,
n_P655,Paracetamol,CDC_ID_234,PA,2446.476259972287,11.256489567929085,0.00216502933303838,0.004583050857802594,*
n_P655,Paracetamol,CDC_ID_249,PA,2.137176151155842,1.0957058232647305,0.201336485287401,0.29178302944727963,
n_P655,Paracetamol,CDC_ID_258,PA,1654.8095344098851,10.692449459655142,0.00216502933303838,0.004583050857802594,*
n_P655,Paracetamol,CDC_ID_474,SA,2.720349757661939,1.4437921519186248,0.159864197547973,0.23815299012681693,
n_P655,Paracetamol,CDC_ID_484,SA,0.9783754071083983,-0.031539954808522695,0.898326787269238,0.9343656609579928,
n_P655,Paracetamol,Isogenic,PA,1388.3338330037343,10.439138798767202,0.00216502933303838,0.004583050857802594,*
n_P655,Paracetamol,SCFM_evolved,PA,1000.3585872761993,9.966301524015002,0.00216502933303838,0.004583050857802594,*
n_P655,Paracetamol,USA300,SA,1.0216331214363583,0.030877203212583335,0.609280159304103,0.714747086008051,
n_P656,3-Hydroxybenzoic acid,ATCC_29213,SA,2.80661095777909,1.4888290965609605,0.00216502933303838,0.004583050857802594,*
n_P656,3-Hydroxybenzoic acid,CDC_ID_234,PA,12.293419548019704,3.619814367698994,0.00216502933303838,0.004583050857802594,*
n_P656,3-Hydroxybenzoic acid,CDC_ID_249,PA,59.534580555876005,5.895655993638054,0.00216502933303838,0.004583050857802594,*
n_P656,3-Hydroxybenzoic acid,CDC_ID_258,PA,49.83711172368537,5.639148555250511,0.00216502933303838,0.004583050857802594,*
n_P656,3-Hydroxybenzoic acid,CDC_ID_474,SA,2.234656512358589,1.1600530927060886,0.00329451387658258,0.0067125423325323525,*
n_P656,3-Hydroxybenzoic acid,CDC_ID_484,SA,3.3393518466511183,1.7395681091770305,0.00216502933303838,0.004583050857802594,*
n_P656,3-Hydroxybenzoic acid,Isogenic,PA,185.00120018087688,7.531390819918381,0.00216502933303838,0.004583050857802594,*
n_P656,3-Hydroxybenzoic acid,SCFM_evolved,PA,221.34231593838317,7.790135479858295,0.00216502933303838,0.004583050857802594,*
n_P656,3-Hydroxybenzoic acid,USA300,SA,4.050856320070039,2.0182269149432566,0.00216502933303838,0.004583050857802594,*
n_P661,2-Isopropylmalic acid,ATCC_29213,SA,3.5828593011644823,1.841111390046604,0.00329451387658258,0.0067125423325323525,*
n_P661,2-Isopropylmalic acid,CDC_ID_234,PA,606.1933115837104,9.243634124050967,0.00216502933303838,0.004583050857802594,*
n_P661,2-Isopropylmalic acid,CDC_ID_249,PA,321.06476674224183,8.326720543922189,0.00216502933303838,0.004583050857802594,*
n_P661,2-Isopropylmalic acid,CDC_ID_258,PA,231.8971566497002,7.857341320614505,0.00216502933303838,0.004583050857802594,*
n_P661,2-Isopropylmalic acid,CDC_ID_474,SA,4.090153797951021,2.0321550924016334,0.00216502933303838,0.004583050857802594,*
n_P661,2-Isopropylmalic acid,CDC_ID_484,SA,3.551321975399761,1.8283561661191559,0.00216502933303838,0.004583050857802594,*
n_P661,2-Isopropylmalic acid,Isogenic,PA,1776.1088593847262,10.794504293197798,0.00216502933303838,0.004583050857802594,*
n_P661,2-Isopropylmalic acid,SCFM_evolved,PA,2303.8016634585774,11.16980080375942,0.00216502933303838,0.004583050857802594,*
n_P661,2-Isopropylmalic acid,USA300,SA,4.342530979823108,2.118536141227606,0.00216502933303838,0.004583050857802594,*
n_P672,Phenylpyruvic acid,ATCC_29213,SA,383.0969437572076,8.581565706155395,0.00216502933303838,0.004583050857802594,*
n_P672,Phenylpyruvic acid,CDC_ID_234,PA,0.9390911620744675,-0.09066288089654267,0.0552849927170241,0.09046635171876671,
n_P672,Phenylpyruvic acid,CDC_ID_249,PA,0.932270749138527,-0.10117909310444834,0.250153007959382,0.35083493821003153,
n_P672,Phenylpyruvic acid,CDC_ID_258,PA,1.0477051177352614,0.06723271969551972,0.701478108866614,0.7879082415171109,
n_P672,Phenylpyruvic acid,CDC_ID_474,SA,721.9201474857258,9.49569545736158,0.00216502933303838,0.004583050857802594,*
n_P672,Phenylpyruvic acid,CDC_ID_484,SA,314.8350456455166,8.298452332160313,0.00216502933303838,0.004583050857802594,*
n_P672,Phenylpyruvic acid,Isogenic,PA,1.416249578089932,0.5020755262575096,0.701478108866614,0.7879082415171109,
n_P672,Phenylpyruvic acid,SCFM_evolved,PA,1.2851123035008485,0.3618944392823804,0.798297847328526,0.8620518595912934,
n_P672,Phenylpyruvic acid,USA300,SA,528.9439363925663,9.046971006679792,0.00216502933303838,0.004583050857802594,*
n_P679,2-Hydroxycaproic acid,ATCC_29213,SA,43.306737985971886,5.43651960258038,0.00216502933303838,0.004583050857802594,*
n_P679,2-Hydroxycaproic acid,CDC_ID_234,PA,1.5234109070683375,0.6073051300282649,0.125201029610315,0.19135646818753393,
n_P679,2-Hydroxycaproic acid,CDC_ID_249,PA,6.388162954184889,2.675401114595723,0.00216502933303838,0.004583050857802594,*
n_P679,2-Hydroxycaproic acid,CDC_ID_258,PA,2.563061383814857,1.3578680307421784,0.00729035809153564,0.013967831841816759,*
n_P679,2-Hydroxycaproic acid,CDC_ID_474,SA,73.20028494453447,6.193777359342946,0.00216502933303838,0.004583050857802594,*
n_P679,2-Hydroxycaproic acid,CDC_ID_484,SA,51.4253360659122,5.684407411718091,0.00216502933303838,0.004583050857802594,*
n_P679,2-Hydroxycaproic acid,Isogenic,PA,1.7347847443567381,0.7947566613539733,0.0214507336863221,0.038245913815486594,*
n_P679,2-Hydroxycaproic acid,SCFM_evolved,PA,1.9748855435030932,0.9817690428566217,0.00729035809153564,0.013967831841816759,*
n_P679,2-Hydroxycaproic acid,USA300,SA,63.13929084105854,5.980466151771495,0.00216502933303838,0.004583050857802594,*
n_P682,3-Dehydrocarnitine,ATCC_29213,SA,3.3913460449856245,1.7618580010880014,0.306685065904181,0.4162785764866549,
n_P682,3-Dehydrocarnitine,CDC_ID_234,PA,1.160160322121818,0.21432418461837005,0.159864197547973,0.23815299012681693,
n_P682,3-Dehydrocarnitine,CDC_ID_249,PA,5.614600639629455,2.489183408963139,0.00216502933303838,0.004583050857802594,*
n_P682,3-Dehydrocarnitine,CDC_ID_258,PA,1.2177819439397846,0.28425582736564925,0.125201029610315,0.19135646818753393,
n_P682,3-Dehydrocarnitine,CDC_ID_474,SA,12.244618683027063,3.6140759416621284,0.00216502933303838,0.004583050857802594,*
n_P682,3-Dehydrocarnitine,CDC_ID_484,SA,3.211061933083611,1.6830504911897857,0.00493790547090731,0.009731186095386373,*
n_P682,3-Dehydrocarnitine,Isogenic,PA,1.1838443622812653,0.24347942511878934,0.371093369522698,0.48731870923380327,
n_P682,3-Dehydrocarnitine,SCFM_evolved,PA,1.64044335520926,0.7140857782089087,0.0214507336863221,0.038245913815486594,*
n_P682,3-Dehydrocarnitine,USA300,SA,1.7886056554287506,0.8388353428570015,0.201336485287401,0.29178302944727963,
n_P683,Xylenesulfonate,ATCC_29213,SA,0.9508521266700064,-0.07270709944575089,1,1,
n_P683,Xylenesulfonate,CDC_ID_234,PA,1.256221761206712,0.3290911661025642,0.306685065904181,0.4162785764866549,
n_P683,Xylenesulfonate,CDC_ID_249,PA,0.9361509981597252,-0.09518684421705813,0.798297847328526,0.8620518595912934,
n_P683,Xylenesulfonate,CDC_ID_258,PA,1.153514365467889,0.2060359709565108,0.201336485287401,0.29178302944727963,
n_P683,Xylenesulfonate,CDC_ID_474,SA,0.8079801937069296,-0.30760816675065816,0.44328852211644,0.5627732989672325,
n_P683,Xylenesulfonate,CDC_ID_484,SA,1.713454138561682,0.7769075779352441,0.44328852211644,0.5627732989672325,
n_P683,Xylenesulfonate,Isogenic,PA,0.9499120289901161,-0.0741341827241053,1,1,
n_P683,Xylenesulfonate,SCFM_evolved,PA,0.9050965068315727,-0.14385646567020216,0.898326787269238,0.9343656609579928,
n_P683,Xylenesulfonate,USA300,SA,1.1913914060240547,0.25264745750350526,1,1,
n_P688,2-(Acetylamino)hexanoic acid,ATCC_29213,SA,52.07783197544837,5.702597484570363,0.00216502933303838,0.004583050857802594,*
n_P688,2-(Acetylamino)hexanoic acid,CDC_ID_234,PA,2640.9433661828384,11.366837648566477,0.00216502933303838,0.004583050857802594,*
n_P688,2-(Acetylamino)hexanoic acid,CDC_ID_249,PA,26432.724437912242,14.6900375116987,0.00216502933303838,0.004583050857802594,*
n_P688,2-(Acetylamino)hexanoic acid,CDC_ID_258,PA,2602.7099168534196,11.345798810834369,0.00216502933303838,0.004583050857802594,*
n_P688,2-(Acetylamino)hexanoic acid,CDC_ID_474,SA,14.520504088748083,3.8600196331875183,0.00216502933303838,0.004583050857802594,*
n_P688,2-(Acetylamino)hexanoic acid,CDC_ID_484,SA,8.041911125719103,3.00753839244357,0.00216502933303838,0.004583050857802594,*
n_P688,2-(Acetylamino)hexanoic acid,Isogenic,PA,6194.71711571703,12.596822687274868,0.00216502933303838,0.004583050857802594,*
n_P688,2-(Acetylamino)hexanoic acid,SCFM_evolved,PA,8032.1212120365835,12.97156532569935,0.00216502933303838,0.004583050857802594,*
n_P688,2-(Acetylamino)hexanoic acid,USA300,SA,13.16070285428961,3.7181646339089123,0.00216502933303838,0.004583050857802594,*
n_P701,2-Oxindole,ATCC_29213,SA,0.963605800530608,-0.05348501682410104,0.159864197547973,0.23815299012681693,
n_P701,2-Oxindole,CDC_ID_234,PA,1872.784767501573,10.870969389955475,0.00216502933303838,0.004583050857802594,*
n_P701,2-Oxindole,CDC_ID_249,PA,0.9329550527677727,-0.10012051725195988,0.701478108866614,0.7879082415171109,
n_P701,2-Oxindole,CDC_ID_258,PA,480.0423596668599,8.907017906827106,0.00216502933303838,0.004583050857802594,*
n_P701,2-Oxindole,CDC_ID_474,SA,0.9549804740457573,-0.06645685941996114,0.0214507336863221,0.038245913815486594,*
n_P701,2-Oxindole,CDC_ID_484,SA,0.9672075526608183,-0.04810258464300034,0.0298420644179543,0.05108035980929065,
n_P701,2-Oxindole,Isogenic,PA,321.979241146765,8.330823866748059,0.00216502933303838,0.004583050857802594,*
n_P701,2-Oxindole,SCFM_evolved,PA,235.03196383718918,7.876713163303518,0.00216502933303838,0.004583050857802594,*
n_P701,2-Oxindole,USA300,SA,0.9658772816127545,-0.05008819408238287,0.0409135529844968,0.06845571387459323,
n_P705,L-(-)-3-Phenyllactic acid,ATCC_29213,SA,73.25999967236682,6.194953789481818,0.00216502933303838,0.004583050857802594,*
n_P705,L-(-)-3-Phenyllactic acid,CDC_ID_234,PA,1.669347389306262,0.7392842091514514,0.00216502933303838,0.004583050857802594,*
n_P705,L-(-)-3-Phenyllactic acid,CDC_ID_249,PA,2.142414030405276,1.0992373138377036,0.00216502933303838,0.004583050857802594,*
n_P705,L-(-)-3-Phenyllactic acid,CDC_ID_258,PA,2.2351043359191793,1.160342178791071,0.00216502933303838,0.004583050857802594,*
n_P705,L-(-)-3-Phenyllactic acid,CDC_ID_474,SA,18.418753712174443,4.203103541002033,0.00216502933303838,0.004583050857802594,*
n_P705,L-(-)-3-Phenyllactic acid,CDC_ID_484,SA,105.07644467886745,6.7152954817793375,0.00216502933303838,0.004583050857802594,*
n_P705,L-(-)-3-Phenyllactic acid,Isogenic,PA,3.0768195154224127,1.6214398184384737,0.00216502933303838,0.004583050857802594,*
n_P705,L-(-)-3-Phenyllactic acid,SCFM_evolved,PA,3.421193438631478,1.774499678225845,0.00216502933303838,0.004583050857802594,*
n_P705,L-(-)-3-Phenyllactic acid,USA300,SA,57.84149293510656,5.854032884767646,0.00216502933303838,0.004583050857802594,*
n_P716,N-Acetyl-L-phenylalanine,ATCC_29213,SA,117.81956645051655,6.880435339104666,0.00216502933303838,0.004583050857802594,*
n_P716,N-Acetyl-L-phenylalanine,CDC_ID_234,PA,34.40947556547076,5.104733999026766,0.00216502933303838,0.004583050857802594,*
n_P716,N-Acetyl-L-phenylalanine,CDC_ID_249,PA,94.79701595816584,6.566769741245991,0.00216502933303838,0.004583050857802594,*
n_P716,N-Acetyl-L-phenylalanine,CDC_ID_258,PA,82.43510817473707,6.3651869905767295,0.00216502933303838,0.004583050857802594,*
n_P716,N-Acetyl-L-phenylalanine,CDC_ID_474,SA,126.0552759331379,6.977912691971846,0.00216502933303838,0.004583050857802594,*
n_P716,N-Acetyl-L-phenylalanine,CDC_ID_484,SA,121.06146690999745,6.919595927274949,0.00216502933303838,0.004583050857802594,*
n_P716,N-Acetyl-L-phenylalanine,Isogenic,PA,79.16524957358057,6.30679537784706,0.00216502933303838,0.004583050857802594,*
n_P716,N-Acetyl-L-phenylalanine,SCFM_evolved,PA,154.08008971051515,7.267536638053662,0.00216502933303838,0.004583050857802594,*
n_P716,N-Acetyl-L-phenylalanine,USA300,SA,125.64951714692822,6.973261316933837,0.00216502933303838,0.004583050857802594,*
n_P726,Indole-2-carboxylic acid,ATCC_29213,SA,1.040655342101438,0.05749233705944039,0.609280159304103,0.714747086008051,
n_P726,Indole-2-carboxylic acid,CDC_ID_234,PA,9624.03827361874,13.232426664608553,0.00216502933303838,0.004583050857802594,*
n_P726,Indole-2-carboxylic acid,CDC_ID_249,PA,611.754133845123,9.256808134927299,0.00216502933303838,0.004583050857802594,*
n_P726,Indole-2-carboxylic acid,CDC_ID_258,PA,3006.102974676752,11.553678714578695,0.00216502933303838,0.004583050857802594,*
n_P726,Indole-2-carboxylic acid,CDC_ID_474,SA,0.9800584498533591,-0.029060301987080928,0.306685065904181,0.4162785764866549,
n_P726,Indole-2-carboxylic acid,CDC_ID_484,SA,0.978806992238109,-0.030903687349081856,0.0966975676176362,0.15056051024101375,
n_P726,Indole-2-carboxylic acid,Isogenic,PA,1741.0454479784235,10.765738148028642,0.00216502933303838,0.004583050857802594,*
n_P726,Indole-2-carboxylic acid,SCFM_evolved,PA,1732.870935009402,10.758948490599352,0.00216502933303838,0.004583050857802594,*
n_P726,Indole-2-carboxylic acid,USA300,SA,0.9831241578890074,-0.02455447012241826,0.44328852211644,0.5627732989672325,
n_P733,Phenol,ATCC_29213,SA,0.8805482316707421,-0.18352606563331794,0.701478108866614,0.7879082415171109,
n_P733,Phenol,CDC_ID_234,PA,1297.4243485520199,10.341434703668556,0.00216502933303838,0.004583050857802594,*
n_P733,Phenol,CDC_ID_249,PA,19.6612202568156,4.297280958978098,0.00216502933303838,0.004583050857802594,*
n_P733,Phenol,CDC_ID_258,PA,256.95567539406045,8.005375707153997,0.00216502933303838,0.004583050857802594,*
n_P733,Phenol,CDC_ID_474,SA,0.7395233492434107,-0.4353323961013779,1,1,
n_P733,Phenol,CDC_ID_484,SA,1.2132425279510524,0.2788679749414621,0.250153007959382,0.35083493821003153,
n_P733,Phenol,Isogenic,PA,242.70135698419304,7.9230383646374545,0.00216502933303838,0.004583050857802594,*
n_P733,Phenol,SCFM_evolved,PA,339.01090268646175,8.405187861362773,0.00216502933303838,0.004583050857802594,*
n_P733,Phenol,USA300,SA,1.244220680090416,0.3152423904816427,0.522903234512671,0.6397075933908261,
n_P741,4-Hydroxycoumarin,ATCC_29213,SA,0.9769707167237855,-0.03361277473107437,1,1,
n_P741,4-Hydroxycoumarin,CDC_ID_234,PA,1241.753144239534,10.27816268448579,0.00216502933303838,0.004583050857802594,*
n_P741,4-Hydroxycoumarin,CDC_ID_249,PA,1.282023952577091,0.3584232166691104,0.0151936099774602,0.027827052363125424,*
n_P741,4-Hydroxycoumarin,CDC_ID_258,PA,560.0510389134789,9.129414499502209,0.00216502933303838,0.004583050857802594,*
n_P741,4-Hydroxycoumarin,CDC_ID_474,SA,1.0230487389853566,0.032874878042672626,0.798297847328526,0.8620518595912934,
n_P741,4-Hydroxycoumarin,CDC_ID_484,SA,1.002274856790792,0.003278197308213738,1,1,
n_P741,4-Hydroxycoumarin,Isogenic,PA,700.4884540913505,9.452217461183954,0.00216502933303838,0.004583050857802594,*
n_P741,4-Hydroxycoumarin,SCFM_evolved,PA,535.1750826702547,9.063867136574538,0.00216502933303838,0.004583050857802594,*
n_P741,4-Hydroxycoumarin,USA300,SA,1.0381703363489136,0.054043171291896876,0.609280159304103,0.714747086008051,
n_P743,Azelaic acid,ATCC_29213,SA,0.9829984646224038,-0.024738931712527605,0.798297847328526,0.8620518595912934,
n_P743,Azelaic acid,CDC_ID_234,PA,1.0126073028271771,0.018074793976756494,0.250153007959382,0.35083493821003153,
n_P743,Azelaic acid,CDC_ID_249,PA,1.042863275881633,0.06055002637422878,0.0409135529844968,0.06845571387459323,
n_P743,Azelaic acid,CDC_ID_258,PA,1.066780982479118,0.09326401128417224,0.250153007959382,0.35083493821003153,
n_P743,Azelaic acid,CDC_ID_474,SA,0.9729486735409724,-0.03956439510299864,0.898326787269238,0.9343656609579928,
n_P743,Azelaic acid,CDC_ID_484,SA,0.9165940537442869,-0.12564516839557677,0.44328852211644,0.5627732989672325,
n_P743,Azelaic acid,Isogenic,PA,1.0892294291679645,0.1233078672419703,0.0736382701203026,0.11763807312604588,
n_P743,Azelaic acid,SCFM_evolved,PA,1.0163202618174119,0.023355094363333804,0.250153007959382,0.35083493821003153,
n_P743,Azelaic acid,USA300,SA,0.8855696698784735,-0.17532228318482587,0.371093369522698,0.48731870923380327,
n_P754,3-tert-Butyladipic acid,ATCC_29213,SA,0.9484830637415759,-0.07630608200357472,0.44328852211644,0.5627732989672325,
n_P754,3-tert-Butyladipic acid,CDC_ID_234,PA,0.9856281770867573,-0.02088459457465515,0.609280159304103,0.714747086008051,
n_P754,3-tert-Butyladipic acid,CDC_ID_249,PA,0.9917157123210634,-0.01200148153822145,0.701478108866614,0.7879082415171109,
n_P754,3-tert-Butyladipic acid,CDC_ID_258,PA,0.9366303789872494,-0.09444826323146012,0.306685065904181,0.4162785764866549,
n_P754,3-tert-Butyladipic acid,CDC_ID_474,SA,0.9259432057423971,-0.1110043887739972,0.371093369522698,0.48731870923380327,
n_P754,3-tert-Butyladipic acid,CDC_ID_484,SA,0.9745950097087575,-0.03712525947683439,0.159864197547973,0.23815299012681693,
n_P754,3-tert-Butyladipic acid,Isogenic,PA,0.9619831373319555,-0.05591648977019848,0.250153007959382,0.35083493821003153,
n_P754,3-tert-Butyladipic acid,SCFM_evolved,PA,0.9993997940225646,-8.661741546213562e-4,0.898326787269238,0.9343656609579928,
n_P754,3-tert-Butyladipic acid,USA300,SA,0.9597401351779394,-0.059284268679954656,0.0966975676176362,0.15056051024101375,
n_P768,Monobutyl phthalate,ATCC_29213,SA,0.9901527478028852,-0.014276992423325533,1,1,
n_P768,Monobutyl phthalate,CDC_ID_234,PA,0.8619416655373275,-0.21433786094166174,0.0552849927170241,0.09046635171876671,
n_P768,Monobutyl phthalate,CDC_ID_249,PA,0.9094659074490551,-0.13690853735810343,0.250153007959382,0.35083493821003153,
n_P768,Monobutyl phthalate,CDC_ID_258,PA,0.9092139698716926,-0.13730824387086799,0.44328852211644,0.5627732989672325,
n_P768,Monobutyl phthalate,CDC_ID_474,SA,0.9615696070749765,-0.056536798271669964,0.701478108866614,0.7879082415171109,
n_P768,Monobutyl phthalate,CDC_ID_484,SA,0.9149306774975111,-0.12826565752269797,0.371093369522698,0.48731870923380327,
n_P768,Monobutyl phthalate,Isogenic,PA,0.8941327510441129,-0.1614390520078876,0.250153007959382,0.35083493821003153,
n_P768,Monobutyl phthalate,SCFM_evolved,PA,0.9141271273790857,-0.1295332804949734,0.159864197547973,0.23815299012681693,
n_P768,Monobutyl phthalate,USA300,SA,0.8946476844900243,-0.1606084392232581,0.250153007959382,0.35083493821003153,
n_P777,Butylparaben,ATCC_29213,SA,1.009611891739866,0.013800808354152207,0.522903234512671,0.6397075933908261,
n_P777,Butylparaben,CDC_ID_234,PA,0.8668333425071194,-0.2061734475188534,0.00329451387658258,0.0067125423325323525,*
n_P777,Butylparaben,CDC_ID_249,PA,0.9184721651926887,-0.12269209455994617,0.0736382701203026,0.11763807312604588,
n_P777,Butylparaben,CDC_ID_258,PA,0.8487088001975139,-0.2366584581584573,0.0151936099774602,0.027827052363125424,*
n_P777,Butylparaben,CDC_ID_474,SA,1.0362939528608341,0.05143329277492859,0.371093369522698,0.48731870923380327,
n_P777,Butylparaben,CDC_ID_484,SA,0.9947001187791533,-0.007666445973921464,1,1,
n_P777,Butylparaben,Isogenic,PA,0.8898205362497983,-0.16841369989821722,0.00729035809153564,0.013967831841816759,*
n_P777,Butylparaben,SCFM_evolved,PA,0.8515519042456288,-0.2318336263862462,0.00216502933303838,0.004583050857802594,*
n_P777,Butylparaben,USA300,SA,1.0503976665472936,0.07093561640780637,0.250153007959382,0.35083493821003153,
n_P798,3-Hydroxydecanoic acid,ATCC_29213,SA,1.9580737079689192,0.9694350734808114,0.371093369522698,0.48731870923380327,
n_P798,3-Hydroxydecanoic acid,CDC_ID_234,PA,3.993139769333245,1.9975235705922687,0.0214507336863221,0.038245913815486594,*
n_P798,3-Hydroxydecanoic acid,CDC_ID_249,PA,0.609345249767928,-0.7146682165182948,0.0298420644179543,0.05108035980929065,
n_P798,3-Hydroxydecanoic acid,CDC_ID_258,PA,0.8786615865778237,-0.18662047146794697,0.159864197547973,0.23815299012681693,
n_P798,3-Hydroxydecanoic acid,CDC_ID_474,SA,1.0460495063372166,0.06495113156292555,0.701478108866614,0.7879082415171109,
