strain,species,replicate,Peak,Name,Formula,KEGG_ID,Molecular Weight,RT [min],mzVault Best Match,mzCloud Best Match,MS2,Area,normalizedArea
CDC_ID_258,PA,R6,p_P951,Thymine,C5 H6 N2 O2,C00178,126.0429,2.717,95.7,89.4,DDA for preferred ion,3014544.372,-0.03426213666014277
CDC_ID_258,PA,R6,p_P952,N-(2-Methoxyphenyl)acetamide,C9 H11 N O2,NA,165.07879,2.717,56.1,61,DDA for preferred ion,132204.0514,-0.20116618741354841
CDC_ID_258,PA,R6,p_P979,Tyrosylalanine,C12 H16 N2 O4,NA,252.11101,2.804,93.5,86.6,DDA for preferred ion,1136365.965,1.9920323710692607
CDC_ID_258,PA,R6,p_P998,Cyclohexylamine,C6 H13 N,C00571,99.10491,2.856,NA,88,DDA for preferred ion,6512033.758,-0.6945144641169883
CDC_ID_258,PA,R6,p_P1026,Norepinephrine(Noradrenaline),C8 H11 N O3,C00547,169.07384,2.937,NA,85.3,DDA for preferred ion,50539.00101,-1.5073978400454902
CDC_ID_258,PA,R6,p_P1030,3-Hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde oxime,C8 H10 N2 O3,NA,182.06904,2.943,95.5,94.9,DDA for preferred ion,4312971.642,3.3151374817861914
CDC_ID_258,PA,R6,p_P1033,Adenosine,C10 H13 N5 O4,C00212,267.09674,2.962,89.8,81.1,DDA for preferred ion,81840.72844,-1.6607184708972866
CDC_ID_258,PA,R6,p_P1045,Sorbic acid,C6 H8 O2,D02411,112.05251,3.003,80,60.5,DDA for preferred ion,170414.3872,-1.8734546828118752
CDC_ID_258,PA,R6,p_P1046,6-Hydroxynicotinic acid,C6 H5 N O3,C01020,139.02689,3.005,57.9,87.8,DDA for preferred ion,137708.9822,0.6194279817865009
CDC_ID_258,PA,R6,p_P1097,allopurinol,C5 H4 N4 O,D00224,136.03851,3.183,NA,70.6,DDA for preferred ion,18925.22454,-1.023083386885416
CDC_ID_258,PA,R6,p_P1120,2-Hydroxyphenylalanine,C9 H11 N O3,NA,181.07378,3.246,80.4,72.3,DDA for preferred ion,1542518.593,-0.2364497886992396
CDC_ID_258,PA,R6,p_P1125,5-Valerolactone,C5 H8 O2,C02240,100.05252,3.26,NA,62,DDA for preferred ion,1199072.046,1.5002050676669043
CDC_ID_258,PA,R6,p_P1176,"N,N-dimethyl-9H-purin-6-amine",C7 H9 N5,NA,163.08573,3.426,50.6,70,DDA for preferred ion,2300132.989,0.983948610119679
CDC_ID_258,PA,R6,p_P1192,L-Phenylalanine,C9 H11 N O2,C00079,165.07881,3.473,96,90.5,DDA for preferred ion,1696936.726,-6.773635170902789
CDC_ID_258,PA,R6,p_P1228,2-Hydroxy-2-methylbutyronitrile,C5 H9 N O,NA,99.06849,3.549,NA,84.3,DDA for preferred ion,50123860.28,3.243733949546929
CDC_ID_258,PA,R6,p_P1305,2-Phenylglycine,C8 H9 N O2,NA,151.06322,3.739,74.1,NA,DDA for preferred ion,2536318.334,1.9473563747088534
CDC_ID_258,PA,R6,p_P1326,Glycyl-L-leucine,C8 H16 N2 O3,C02155,188.11597,3.782,93.3,87.7,DDA for preferred ion,2796628.032,3.7373195717329715
CDC_ID_258,PA,R6,p_P1334,Aspartame,C14 H18 N2 O5,D02381,294.12162,3.838,64,NA,DDA for preferred ion,2211593.277,3.211616227641997
CDC_ID_258,PA,R6,p_P1346,NP-016455,C11 H18 N2 O4,NA,242.12665,3.944,NA,75.6,DDA for preferred ion,102173.1983,-0.21276954431787232
CDC_ID_258,PA,R6,p_P1375,"N6-[(5-nitro-2-thienyl)methylidene]-2,3-dihydro-1,4-benzodioxin-6-amine",C13 H10 N2 O4 S,NA,290.03624,4.011,NA,62.2,DDA for preferred ion,2027944.535,1.61989312430212
CDC_ID_258,PA,R6,p_P1433,Hypoxanthine,C5 H4 N4 O,C00262,136.03846,4.15,90.7,88.3,DDA for preferred ion,11465804.72,3.9343577758125434
CDC_ID_258,PA,R6,p_P1443,Pantothenate,C9 H17 N O5,C00864,219.11067,4.185,92,NA,DDA for preferred ion,18579366.35,1.7954593515763584
CDC_ID_258,PA,R6,p_P1524,tert-Butyl N-[1-(aminocarbonyl)-3-methylbutyl]carbamate,C11 H22 N2 O3,NA,230.16306,4.511,67.5,64.7,DDA for preferred ion,1040814.569,2.1982986306049774
CDC_ID_258,PA,R6,p_P1540,Paraquat,C12 H14 N2,C14701,186.11568,4.574,NA,67.3,DDA for preferred ion,1143053.941,2.8322189094887555
CDC_ID_258,PA,R6,p_P1546,Harmine,C13 H12 N2 O,C06538,212.09472,4.598,85.5,NA,DDA for preferred ion,817288.061,2.7724554657081697
CDC_ID_258,PA,R6,p_P1551,"2-(Methylamino)-2,3-dihydro-1H-benzo[de]isoquinoline-1,3-dione",C13 H10 N2 O2,NA,226.07428,4.607,NA,78.5,DDA for preferred ion,656925.042,2.881653678326849
CDC_ID_258,PA,R6,p_P1560,"6,7-dihydro-5H-dibenzo[d,f][1,3]diazepin-6-one",C13 H10 N2 O,NA,210.07928,4.655,NA,75.7,DDA for preferred ion,467646303,6.402823633133892
CDC_ID_258,PA,R6,p_P1605,DL-Tryptophan,C11 H12 N2 O2,C00806,204.08981,4.882,99.2,96.7,DDA for preferred ion,875629.2413,-4.708852270081284
CDC_ID_258,PA,R6,p_P1606,8-Hydroxyquinoline,C9 H7 N O,C19434,145.0527,4.882,57.9,61.4,DDA for preferred ion,42222.95617,-3.481884404007829
CDC_ID_258,PA,R6,p_P1609,Isoquinoline,C9 H7 N,C06323,129.05783,4.883,68.4,76.6,DDA for preferred ion,45301.29378,-3.0174538881195634
CDC_ID_258,PA,R6,p_P1610,"1,5-Naphthalenediamine",C10 H10 N2,C19463,158.08434,4.883,66.7,64.6,DDA for preferred ion,48382.19072,-3.4230926550182215
CDC_ID_258,PA,R6,p_P1612,Indole-3-acrylic acid,C11 H9 N O2,NA,187.06323,4.885,97,89,DDA for preferred ion,841972.8944,-4.728262125484413
CDC_ID_258,PA,R6,p_P1632,Methionine,C5 H11 N O2 S,C01733,149.05097,4.935,93.1,90.8,DDA for preferred ion,8728411.266,1.1882490635903444
CDC_ID_258,PA,R6,p_P1656,Phloroglucinol,C6 H6 O3,C02183,126.03164,4.976,57.2,74.1,DDA for preferred ion,2803497.66,3.219618253200128
CDC_ID_258,PA,R6,p_P1669,Valine,C5 H11 N O2,C00183,117.07896,5.01,88.5,85.4,DDA for preferred ion,3805920.119,-0.08181099004744397
CDC_ID_258,PA,R6,p_P1697,Caprolactam,C6 H11 N O,C06593,113.0841,5.109,92.6,85.1,DDA for preferred ion,9751727.225,-0.15551138774283046
CDC_ID_258,PA,R6,p_P1723,?-Aspartylphenylalanine,C13 H16 N2 O5,NA,280.10606,5.279,75.8,73.9,DDA for preferred ion,32996.81833,-2.0643354637675895
CDC_ID_258,PA,R6,p_P1724,N-Acetyl-L-tyrosine,C11 H13 N O4,C01657,223.08447,5.281,95.8,91.2,DDA for preferred ion,1899527.345,1.1775521634167916
CDC_ID_258,PA,R6,p_P1739,1(2H)-Isoquinolinone,C9 H7 N O,C06324,145.05266,5.382,NA,78.3,DDA for preferred ion,41087.19902,-1.5594845611080501
CDC_ID_258,PA,R6,p_P1761,2-Acetamidophenol,C8 H9 N O2,NA,151.06327,5.552,99.2,93.3,DDA for preferred ion,27490339.82,5.187956046610228
CDC_ID_258,PA,R6,p_P1767,"1-(2,4-Dihydroxyquinolin-3-yl)ethan-1-one",C11 H9 N O3,NA,203.05828,5.577,81.1,82.5,DDA for preferred ion,322789.0268,2.023832152662937
CDC_ID_258,PA,R6,p_P1769,NP-003319,C11 H14 N4 O4 S,NA,298.0735,5.581,NA,84.6,DDA for preferred ion,7442603.176,3.631099808980238
CDC_ID_258,PA,R6,p_P1775,6-Methylquinoline,C10 H9 N,NA,143.07344,5.644,57.6,88.8,DDA for preferred ion,30617.91491,-2.2423857502849973
CDC_ID_258,PA,R6,p_P1776,"2,3,4,9-Tetrahydro-1H-?-carboline-3-carboxylic acid",C12 H12 N2 O2,NA,216.08993,5.644,92.5,90,DDA for preferred ion,29580.38687,-3.044838877308372
CDC_ID_258,PA,R6,p_P1800,N-Benzylformamide,C8 H9 N O,C15561,135.06835,5.775,76.5,75.7,DDA for preferred ion,1816901.392,1.1358901812370341
CDC_ID_258,PA,R6,p_P1814,2-(2-amino-3-methylbutanamido)-3-phenylpropanoic acid,C14 H20 N2 O3,NA,264.14748,5.848,NA,81.5,DDA for preferred ion,1887935.988,3.191888492629751
CDC_ID_258,PA,R6,p_P1826,Kynurenic acid,C10 H7 N O3,C01717,189.0425,5.966,94,93.1,DDA for preferred ion,1635754.156,2.0225003823246652
CDC_ID_258,PA,R6,p_P1841,4-Hydroxybenzaldehyde,C7 H6 O2,C00633,122.03679,6.107,91.3,86.1,DDA for preferred ion,375430.7605,0.03419253792317889
CDC_ID_258,PA,R6,p_P1847,3-Methyl-quinolin-2-ol,C10 H9 N O,NA,159.06836,6.141,NA,82.6,DDA for preferred ion,92867536.67,5.904917863444258
CDC_ID_258,PA,R6,p_P1857,3-[1-(dimethylamino)-1H-pyrrol-2-yl]-2-(2-furylcarbonyl)acrylonitrile,C14 H13 N3 O2,NA,255.10076,6.211,NA,70.1,DDA for preferred ion,92968.84629,0.09290831658448795
CDC_ID_258,PA,R6,p_P1858,Anthranilic acid,C7 H7 N O2,C00108,137.04764,6.242,95.3,90.1,DDA for preferred ion,362393343.3,5.843689019929858
CDC_ID_258,PA,R6,p_P1868,Indole-3-butyric acid,C12 H13 N O2,C11284,203.09469000000001,6.293,98.2,90.7,DDA for preferred ion,1261367.826,3.4173810036618057
CDC_ID_258,PA,R6,p_P1892,N1-(2-{2-[2-(acetylamino)phenoxy]ethoxy}phenyl)acetamide,C18 H20 N2 O4,NA,328.1422,6.496,65.4,61.7,DDA for preferred ion,1961697.483,3.428324620817591
CDC_ID_258,PA,R6,p_P1905,4-Acetamidobenzoic acid,C9 H9 N O3,D03836,179.05821,6.601,91.3,85.3,DDA for preferred ion,355792.2502,1.1178309486176374
CDC_ID_258,PA,R6,p_P1937,N-Methylcaprolactam,C7 H13 N O,NA,127.09967,6.878,NA,60.2,DDA for preferred ion,22525907.82,1.7456039047859733
CDC_ID_258,PA,R6,p_P1957,Tolycaine,C15 H22 N2 O3,NA,278.16318,6.969,77.1,73.3,DDA for preferred ion,1178610.74,2.728191480363787
CDC_ID_258,PA,R6,p_P1973,2-oxo-1_2-dihydroquinoline-4-carboxylate,C10 H7 N O3,C16715,189.04248,7.086,NA,74.1,DDA for preferred ion,38041.18419,-0.7118556345913323
CDC_ID_258,PA,R6,p_P1975,2-cyano-3-(4-hydroxyphenyl)acrylamide,C10 H8 N2 O2,NA,188.05853,7.087,69.1,NA,DDA for preferred ion,237633.3565,-1.1626666946877684
CDC_ID_258,PA,R6,p_P1980,N-Acetyl-L-leucine,C8 H15 N O3,C02710,173.10506,7.153,97.8,91.4,DDA for preferred ion,35511098.39,2.192864027773439
CDC_ID_258,PA,R6,p_P1998,Pyroquilon,C11 H11 N O,C18487,173.08405,7.213,NA,77.4,DDA for preferred ion,4937199.979,4.625267170158406
CDC_ID_258,PA,R6,p_P2005,2-Hydroxyquinoline,C9 H7 N O,C06338,145.05269,7.292,78.2,85,DDA for preferred ion,3717280.001,4.0973237103079825
CDC_ID_258,PA,R6,p_P2029,6-Methoxyquinoline N-oxide,C10 H9 N O2,NA,175.06327,7.494,83.2,84,DDA for preferred ion,168110080,6.351670783576953
CDC_ID_258,PA,R6,p_P2062,Indole-3-lactic acid,C11 H11 N O3,C02043,205.07402,7.858,90.9,89.5,DDA for preferred ion,74153.37251,-1.738184235264118
CDC_ID_258,PA,R6,p_P2063,Desthiobiotin,C10 H18 N2 O3,C01909,214.13178,7.859,94.5,91.3,DDA for preferred ion,4938405.64,2.464645160203581
CDC_ID_258,PA,R6,p_P2075,"3,3,5,5-Tetramethylpyrroline-N-oxide",C8 H15 N O,NA,141.11532,8.039,65.6,NA,DDA for preferred ion,465943.3241,0.37282514028531466
CDC_ID_258,PA,R6,p_P2082,2-[(Dimethylamino)methylidene]indan-1-one,C12 H13 N O,NA,187.09968,8.104,51,78.5,DDA for preferred ion,862268.053,3.0325970548903243
CDC_ID_258,PA,R6,p_P2101,3-[(dimethylamino)methylene]-1H-2-benzothiopyran-4(3H)-one,C12 H13 N O S,NA,219.07179,8.363,NA,65.6,DDA for preferred ion,176267.9285,1.4874299885804216
CDC_ID_258,PA,R6,p_P2103,Acetanilide,C8 H9 N O,C02558,135.0684,8.377,73,71.5,DDA for preferred ion,3777244.054,2.6007943422203823
CDC_ID_258,PA,R6,p_P2109,"2,4-Quinolinediol",C9 H7 N O2,C16716,161.04761,8.487,83.3,90.7,DDA for preferred ion,118028125.6,6.064146682855011
CDC_ID_258,PA,R6,p_P2121,"1-(4-Methylphenyl)pyrrolidine-2,5-dione",C11 H11 N O2,NA,189.07895,8.706,56.6,65.9,DDA for preferred ion,11750701.91,5.294607212654679
CDC_ID_258,PA,R6,p_P2122,"6-hydroxy-4-methyl-2-phenyl-2,3-dihydropyridazin-3-one",C11 H10 N2 O2,NA,202.07432,8.716,51.3,81.5,DDA for preferred ion,15172400.23,5.425794618875482
CDC_ID_258,PA,R6,p_P2129,5-Hydroxyindole-3-acetic acid,C10 H9 N O3,C05635,191.05783,8.869,78.3,67.9,DDA for preferred ion,27890.2998,-0.15507906474886468
CDC_ID_258,PA,R6,p_P2135,"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde",C13 H15 N O,NA,201.11539,9.044,65.2,80.4,DDA for preferred ion,18656046.59,6.868426698538947
CDC_ID_258,PA,R6,p_P2143,"1,3,4,10-Tetrahydro-9(2H)-acridinone",C13 H13 N O,NA,199.09971,9.241,50.4,81,DDA for preferred ion,10861413.98,4.969699856389457
CDC_ID_258,PA,R6,p_P2147,4-Coumarylalcohol(4-Hydroxycoumarin),C9 H6 O3,NA,162.03165,9.48,NA,65.1,DDA for preferred ion,1482810.111,0.31782147618316614
CDC_ID_258,PA,R6,p_P2148,"4-(allyloxy)-1,2-dihydroquinolin-2-one",C12 H11 N O2,NA,201.07905,9.492,73.7,77.6,DDA for preferred ion,7566405.235,4.777849269664031
CDC_ID_258,PA,R6,p_P2152,3-Indolebutyricacid,C12 H13 N O2,C11284,203.09468,9.612,NA,77.8,DDA for preferred ion,1637291.99,3.519629119864234
CDC_ID_258,PA,R6,p_P2154,5-[4-(2-furylcarbonyl)piperazino]-5-oxo-3-phenylpentanoic acid,C20 H22 N2 O5,NA,370.15341,9.647,59.6,70.5,DDA for preferred ion,1696498.906,3.000453285455361
CDC_ID_258,PA,R6,p_P2162,Lumichrome,C12 H10 N4 O2,C01727,242.08044,9.715,NA,83,DDA for preferred ion,2186558.102,2.366831458805624
CDC_ID_258,PA,R6,p_P2163,2-(1H-indol-3-yl)acetic acid,C10 H9 N O2,C00954,175.0633,9.723,56.9,79.8,DDA for preferred ion,155445.5994,1.6497147494578481
CDC_ID_258,PA,R6,p_P2166,"3,3'-Dimethoxybenzidine",C14 H16 N2 O2,C19231,244.12129,9.745,NA,72.1,DDA for preferred ion,29351.32681,-2.172053930499004
CDC_ID_258,PA,R6,p_P2169,BB-22 3-Carboxyindole metabolite,C16 H19 N O2,NA,257.14167,9.791,NA,61.6,DDA for preferred ion,2082296.595,4.343426683455853
CDC_ID_258,PA,R6,p_P2170,"N1-(5-oxo-5,6,7,8-tetrahydronaphthalen-2-yl)acetamide",C12 H13 N O2,NA,203.09466,9.798,54.5,72.4,DDA for preferred ion,4424129.118,4.405219904153888
CDC_ID_258,PA,R6,p_P2181,PB-22 N-(4-Hydroxypentyl)-3-carboxyindole metabolite,C14 H17 N O3,NA,247.12096,9.879,NA,71.2,DDA for preferred ion,361622.3468,2.3035130901914123
CDC_ID_258,PA,R6,p_P2190,Isophenoxazine,C12 H8 N2 O2,C02161,212.05865,9.921,NA,70.3,DDA for preferred ion,5420971.952,3.9622655424528546
CDC_ID_258,PA,R6,p_P2191,Norbutorphanol,C16 H21 N O2,NA,259.15727,9.926,85.8,81.2,DDA for preferred ion,1289006.557,3.3161848183126352
CDC_ID_258,PA,R6,p_P2195,Aniline,C6 H7 N,C00292,93.058,9.956,82.2,86.2,DDA for preferred ion,42034.97996,-2.3197054062357374
CDC_ID_258,PA,R6,p_P2199,NP-002223,C13 H13 N O2,NA,215.09467,9.961,NA,69.6,DDA for preferred ion,28335915.73,4.323734486129279
CDC_ID_258,PA,R6,p_P2213,"4-phenyl-6-(2-thienyl)-2,3,4,5-tetrahydropyridazin-3-one",C14 H12 N2 O S,NA,256.06691,9.995,NA,75.9,DDA for preferred ion,128377.3723,-1.0086548897372332
CDC_ID_258,PA,R6,p_P2228,4-(4-Cyclohexylanilino)-4-oxobut-2-enoic acid,C16 H19 N O3,NA,273.1368,10.04,60.7,NA,DDA for preferred ion,4406259.336,4.167627954404935
CDC_ID_258,PA,R6,p_P2232,Norketamine,C12 H14 Cl N O,NA,223.07461,10.061,81.6,NA,DDA for preferred ion,34159722.48,5.710290137331231
CDC_ID_258,PA,R6,p_P2244,5'-S-Methyl-5'-thioadenosine,C11 H15 N5 O3 S,C00170,297.08946,10.104,73,NA,DDA for preferred ion,1340753.129,3.2582579676908736
CDC_ID_258,PA,R6,p_P2247,"2-(4-hydroxy-1,3-thiazol-2-yl)-1-phenylethan-1-one",C11 H9 N O2 S,NA,219.03543,10.118,NA,65.2,DDA for preferred ion,757716.0967,1.3027708125861963
CDC_ID_258,PA,R6,p_P2248,5-(2-Thienyl)nicotinic acid,C10 H7 N O2 S,NA,205.01976,10.123,68.8,75.5,DDA for preferred ion,5822246.977,2.0486532009444502
CDC_ID_258,PA,R6,p_P2251,"1-(1,3,3-Trimethyl-2,3-dihydro-1H-indol-2-yliden)acetone",C14 H17 N O,NA,215.131,10.126,NA,88.2,DDA for preferred ion,23533519.36,5.474540155896381
CDC_ID_258,PA,R6,p_P2275,phenazine-2-carboxylic acid,C13 H8 N2 O2,NA,224.05861,10.166,NA,87.1,DDA for preferred ion,11865565.13,2.0454021883532434
CDC_ID_258,PA,R6,p_P2276,N-(9-oxodecyl)acetamide,C12 H23 N O2,NA,213.17285999999999,10.166,NA,69.4,DDA for preferred ion,3836252.321,-0.24477158710305602
CDC_ID_258,PA,R6,p_P2299,"4-(2-hydroxyphenyl)-8,9-dimethyl-2,3-dihydro-1H-1,5-benzodiazepin-2-one",C17 H16 N2 O2,NA,280.12124,10.213,80.1,79.1,DDA for preferred ion,645858.2771,2.116122017863166
CDC_ID_258,PA,R6,p_P2310,2-Hydroxy-4'-(2-hydroxyethoxy)-2-methylpropiophenone,C12 H16 O4,NA,224.10246,10.232,53.8,64.7,DDA for preferred ion,16721165.52,-0.25849196894278137
CDC_ID_258,PA,R6,p_P2327,3-oxoindane-1-carboxylic acid,C10 H8 O3,NA,176.04726,10.253,63.8,NA,DDA for preferred ion,2176726.643,-0.14575991653505227
CDC_ID_258,PA,R6,p_P2332,Imidazosagatriazinone,C17 H20 N4 O2,NA,312.15483,10.262,64.1,NA,DDA for preferred ion,3940753.396,0.018286097234351928
CDC_ID_258,PA,R6,p_P2342,"1-(Benzylamino)-3-(3,4-dimethylphenoxy)propan-2-ol",C18 H23 N O2,NA,285.17298,10.274,NA,72.4,DDA for preferred ion,5036123.552,3.72499544682746
CDC_ID_258,PA,R6,p_P2345,4-Hydroxypropranolol,C16 H21 N O3,NA,275.15224,10.281,NA,66.7,DDA for preferred ion,10960877.62,4.391790792496252
CDC_ID_258,PA,R6,p_P2347,"2,2,6,6-Tetramethyl-1-piperidinol (TEMPO)",C9 H19 N O,NA,157.14656,10.282,NA,78.3,DDA for preferred ion,187109527.8,0.004321569334937436
CDC_ID_258,PA,R6,p_P2353,N1-bicyclo[2.2.2]oct-2-ylbenzamide,C15 H19 N O,NA,229.14671,10.291,NA,73.5,DDA for preferred ion,4499853.433,3.4411491576498143
CDC_ID_258,PA,R6,p_P2355,2-benzyl-6-hydroxy-2-azabicyclo[2.2.2]octan-3-one,C14 H17 N O2,NA,231.12593,10.295,NA,68.3,DDA for preferred ion,61250510.94,3.4251132204890915
CDC_ID_258,PA,R6,p_P2362,Triphenylphosphine oxide,C18 H15 O P,NA,278.08607,10.303,58.7,77.2,DDA for preferred ion,561474.6622,-0.627623879958719
CDC_ID_258,PA,R6,p_P2364,Phytosphingosine;D-Ribo-2-amino-1_3_4-Octadecanetriol,C18 H39 N O3,C12144,317.29282,10.307,NA,76.3,DDA for preferred ion,1491238.457,-0.12750019026363546
CDC_ID_258,PA,R6,p_P2372,2-(4-Methoxybenzylidene)quinuclidin-3-one,C15 H17 N O2,NA,243.12592,10.315,65.2,69.9,DDA for preferred ion,50166278.48,5.66498463773496
CDC_ID_258,PA,R6,p_P2408,Isobutyl benzoate,C11 H14 O2,NA,178.09931,10.378,67.5,NA,DDA for preferred ion,6816876.162,0.20392819306344379
CDC_ID_258,PA,R6,p_P2418,"(2R)-2-[(2R,5S)-5-[(2S)-2-hydroxybutyl]oxolan-2-yl]propanoic acid",C11 H20 O4,NA,216.13617,10.392,NA,70.6,DDA for preferred ion,15235723.5,-0.15993859808895294
CDC_ID_258,PA,R6,p_P2423,"(1H-Indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone",C16 H19 N O,NA,241.14666,10.403,NA,73.4,DDA for preferred ion,8421314.876,3.6577852755848923
CDC_ID_258,PA,R6,p_P2424,"4-[4-phenyl-3,6-dihydro-1(2H)-pyridinyl]butanoic acid hydrochloride",C15 H19 N O2,NA,245.14153,10.408,NA,64.9,DDA for preferred ion,21285071.91,4.566035502098508
CDC_ID_258,PA,R6,p_P2433,Benzophenone,C13 H10 O,C06354,182.07308,10.427,96.9,82.9,DDA for preferred ion,3742247.787,0.02274346807559624
CDC_ID_258,PA,R6,p_P2471,"7,7-dimethyl-3-spiro(4,4,-dimethyl-2,6-dioxocyclohexyl)-1,2,3,4,5,6,7,8-octahydro-5-quinolinone",C18 H25 N O3,NA,303.18335,10.467,NA,74.6,DDA for preferred ion,73212820.58,5.989834861071724
CDC_ID_258,PA,R6,p_P2477,10-Oxodecanoate,C10 H18 O3,C02217,186.12587,10.474,NA,84.7,DDA for preferred ion,4093229.813,0.023390441302300502
CDC_ID_258,PA,R6,p_P2490,Atropine,C17 H23 N O3,C01479,289.16777,10.514,NA,78,DDA for preferred ion,26909311.76,1.9063136645555758
CDC_ID_258,PA,R6,p_P2491,"6-(2-chloroanilino)-4-oxo-2-(4-pyridyl)-3,4-dihydro-2H-1,3-thiazine-5-carbonitrile",C16 H11 Cl N4 O S,NA,342.28781,10.514,68.7,NA,DDA for preferred ion,4358876.229,7.987433961176293e-4
CDC_ID_258,PA,R6,p_P2492,Ethyl paraben,C9 H10 O3,D01647,166.06294,10.515,64,NA,DDA for preferred ion,4094839.587,-0.07794594121162746
CDC_ID_258,PA,R6,p_P2493,4-Ethoxy ethylbenzoate,C11 H14 O3,NA,194.09418,10.515,NA,87.5,DDA for preferred ion,12866926.98,0.033526912585429614
CDC_ID_258,PA,R6,p_P2496,Desomorphine,C17 H21 N O2,NA,271.1573,10.524,NA,77.2,DDA for preferred ion,21528504.12,2.161582191398818
CDC_ID_258,PA,R6,p_P2509,(+/-)-threo-Methylnaphthidate,C18 H21 N O2,NA,283.15717,10.55,NA,62.5,DDA for preferred ion,4157466.805,2.065705128126627
CDC_ID_258,PA,R6,p_P2515,"3,5-di-tert-Butyl-4-hydroxybenzaldehyde",C15 H22 O2,NA,234.16195,10.556,88.4,87.2,DDA for preferred ion,8408131.074,0.009842823166387404
CDC_ID_258,PA,R6,p_P2517,"(3S,9aS)-3-benzyl-octahydro-1H-pyrido[1,2-a]pyrazin-1-one",C15 H20 N2 O,NA,244.15749,10.561,NA,79.5,DDA for preferred ion,197812.7985,0.5408769081810618
CDC_ID_258,PA,R6,p_P2528,"3-Desoxy-3,4-methylenedioxy pyrovalerone",C17 H23 N O2,NA,273.17299,10.577,NA,67.5,DDA for preferred ion,34017043.2,1.8769823949739823
CDC_ID_258,PA,R6,p_P2537,Dextromethorphan,C18 H25 N O,C06947,271.19373,10.594,NA,91,DDA for preferred ion,25995710.49,3.4219109087271242
CDC_ID_258,PA,R6,p_P2554,Benzyl butyl phthalate,C19 H20 O4,C14211,312.13593,10.629,90.2,78.1,DDA for preferred ion,21361158.39,0.01991082559271362
CDC_ID_258,PA,R6,p_P2557,2-({2-[4-(4-Fluorophenyl)piperazino]-2-oxoethyl}sulfanyl)acetic acid,C14 H17 F N2 O3 S,NA,312.0965,10.632,51.8,65.9,DDA for preferred ion,1187346.1,1.8217627919750896
CDC_ID_258,PA,R6,p_P2561,Diisobutylphthalate,C16 H22 O4,C15205,278.15179,10.642,92.6,75.4,DDA for preferred ion,50061644.81,-0.012209405174562704
CDC_ID_258,PA,R6,p_P2594,D-(+)-Camphor,C10 H16 O,C00808,152.11997,10.693,65,63.7,DDA for preferred ion,3215376.843,2.612455747698629
CDC_ID_258,PA,R6,p_P2597,Citroflex A-4,C20 H34 O8,NA,402.22487,10.699,91.6,89.8,DDA for preferred ion,12565414.51,-0.13751343613221678
CDC_ID_258,PA,R6,p_P2607,Oleamide,C18 H35 N O,C19670,281.27191,10.708,76.4,80.7,DDA for preferred ion,7044640.551,-0.20539043144347247
CDC_ID_258,PA,R6,p_P2606,?-Linolenoyl ethanolamide,C20 H35 N O2,NA,152.1188,10.708,NA,70.6,DDA for other ion,19199839.53,0.010488027682491463
CDC_ID_258,PA,R6,p_P2664,(6Z)-Octadecenoicacid,C18 H34 O2,C08363,282.25594,10.838,NA,86.2,DDA for preferred ion,11738862.4,-0.16197522273213494
CDC_ID_258,PA,R6,p_P2679,2-Heptyl-4-hydroxyquinoline-N-oxide,C16 H21 N O2,C04284,259.15714,10.867,NA,86.2,DDA for preferred ion,10240829.7,3.335016917278132
CDC_ID_258,PA,R6,p_P2686,"(1R,3R,4S,5R)-3,4-bis({[(2E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy})-1,5-dihydroxycyclohexane-1-carboxylic acid",C25 H24 O12,NA,498.12035,10.913,NA,70.9,DDA for preferred ion,3301744.25,-0.15413479997210544
CDC_ID_258,PA,R6,p_P2697,Benazol P,C13 H11 N3 O,D03913,225.09026,11.004,91.6,90.7,DDA for preferred ion,6164751.335,-0.09878119396787
CDC_ID_258,PA,R6,p_P2707,Dibutyl sebacate,C18 H34 O4,D03782,314.24559,11.055,89.7,78.8,DDA for preferred ion,13950667.63,0.010791204506187313
CDC_ID_258,PA,R6,p_P2711,Hexadecanamide,C16 H33 N O,NA,255.25629,11.185,92.4,96,DDA for preferred ion,14526692.27,0.012564182955113523
CDC_ID_258,PA,R6,p_P2727,Stearamide,C18 H37 N O,C13846,283.28754,11.783,NA,91.4,DDA for preferred ion,3500514.003,-0.06991062589699837
CDC_ID_258,PA,R6,p_P2732,1-Stearoylglycerol,C21 H42 O4,D01947,358.30798,11.901,64.1,NA,DDA for preferred ion,56831334.33,-0.025931533225520553
CDC_ID_258,PA,R6,p_P2733,Bis(2-ethylhexyl) phthalate,C24 H38 O4,C03690,390.27667,11.941,95.6,84.2,DDA for preferred ion,19743427.32,0.03258267102084034
CDC_ID_258,PA,R6,p_P2746,Erucamide,C22 H43 N O,NA,337.33428,12.502,86.8,86.1,DDA for preferred ion,18348351.62,0.4155197420448573
CDC_ID_258,PA,R6,p_P2750,"Bis(3,5,5-trimethylhexyl) phthalate",C26 H42 O4,NA,418.30787,12.527,86.6,83.4,DDA for preferred ion,289771936,-0.010199023642396554
